epoch: 0	train ppl: 139215.9742200208	val ppl: 38902.21038509536	best val: 38902.21038509536	time (s) spent in epoch: 75.56134104728699
epoch: 1	train ppl: 9169.285923731806	val ppl: 1362.2270537958373	best val: 1362.2270537958373	time (s) spent in epoch: 75.6350166797638
epoch: 2	train ppl: 1073.2967001834938	val ppl: 861.4916666595776	best val: 861.4916666595776	time (s) spent in epoch: 75.46515154838562
epoch: 3	train ppl: 623.4174307963192	val ppl: 619.64795684442	best val: 619.64795684442	time (s) spent in epoch: 75.82284092903137
epoch: 4	train ppl: 564.192833440809	val ppl: 473.3145354654262	best val: 473.3145354654262	time (s) spent in epoch: 75.09019875526428
epoch: 5	train ppl: 534.3337376386252	val ppl: 438.55316335141174	best val: 438.55316335141174	time (s) spent in epoch: 74.67475318908691
epoch: 6	train ppl: 452.58636254904854	val ppl: 486.2022144041501	best val: 438.55316335141174	time (s) spent in epoch: 73.98467183113098
epoch: 7	train ppl: 380.9630987804343	val ppl: 424.9790829334423	best val: 424.9790829334423	time (s) spent in epoch: 74.36759638786316
epoch: 8	train ppl: 310.21357431850424	val ppl: 289.0013867681411	best val: 289.0013867681411	time (s) spent in epoch: 75.17662334442139
epoch: 9	train ppl: 266.66304710992574	val ppl: 416.51237427613074	best val: 289.0013867681411	time (s) spent in epoch: 74.16385173797607
epoch: 10	train ppl: 231.3248237123396	val ppl: 240.71931364717557	best val: 240.71931364717557	time (s) spent in epoch: 73.86708498001099
epoch: 11	train ppl: 199.40287147382105	val ppl: 230.78482031287746	best val: 230.78482031287746	time (s) spent in epoch: 73.98786616325378
epoch: 12	train ppl: 172.77185894557388	val ppl: 243.31097560183264	best val: 230.78482031287746	time (s) spent in epoch: 74.33404111862183
epoch: 13	train ppl: 153.9103898904062	val ppl: 225.43454365390798	best val: 225.43454365390798	time (s) spent in epoch: 75.56805849075317
epoch: 14	train ppl: 138.57859402781096	val ppl: 195.71774123804826	best val: 195.71774123804826	time (s) spent in epoch: 75.12930631637573
epoch: 15	train ppl: 102.28168670981826	val ppl: 165.0387574661569	best val: 165.0387574661569	time (s) spent in epoch: 74.01734375953674
epoch: 16	train ppl: 77.02183658256587	val ppl: 161.04069255576232	best val: 161.04069255576232	time (s) spent in epoch: 73.79791760444641
epoch: 17	train ppl: 60.22570237737439	val ppl: 159.1262269569052	best val: 159.1262269569052	time (s) spent in epoch: 73.83989834785461
epoch: 18	train ppl: 49.598121966981765	val ppl: 166.78901774857428	best val: 159.1262269569052	time (s) spent in epoch: 73.21466255187988
epoch: 19	train ppl: 43.7048218178316	val ppl: 171.93569409643078	best val: 159.1262269569052	time (s) spent in epoch: 73.24975967407227
epoch: 20	train ppl: 40.56272181761075	val ppl: 173.80443524872553	best val: 159.1262269569052	time (s) spent in epoch: 73.30030059814453
epoch: 21	train ppl: 39.16779395107567	val ppl: 172.7162751518649	best val: 159.1262269569052	time (s) spent in epoch: 74.01750063896179
epoch: 22	train ppl: 38.56925064988975	val ppl: 171.61190111785777	best val: 159.1262269569052	time (s) spent in epoch: 73.50630235671997
epoch: 23	train ppl: 38.40548661365055	val ppl: 171.18736144832403	best val: 159.1262269569052	time (s) spent in epoch: 74.32545590400696
epoch: 24	train ppl: 38.2652383152861	val ppl: 171.0985930761014	best val: 159.1262269569052	time (s) spent in epoch: 73.44284510612488
epoch: 25	train ppl: 38.250911580183185	val ppl: 171.07933472549152	best val: 159.1262269569052	time (s) spent in epoch: 75.90885329246521
epoch: 26	train ppl: 38.28722232531878	val ppl: 171.0758116557799	best val: 159.1262269569052	time (s) spent in epoch: 73.94582176208496
epoch: 27	train ppl: 38.2720594206986	val ppl: 171.075352795311	best val: 159.1262269569052	time (s) spent in epoch: 73.97272801399231
epoch: 28	train ppl: 38.21966408154588	val ppl: 171.07529671244922	best val: 159.1262269569052	time (s) spent in epoch: 73.54664134979248
epoch: 29	train ppl: 38.25107119778435	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 73.47026634216309
epoch: 30	train ppl: 38.26030380602838	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 73.44682788848877
epoch: 31	train ppl: 38.23858532451784	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 74.0051121711731
epoch: 32	train ppl: 38.242055323105944	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 73.7583224773407
epoch: 33	train ppl: 38.29313696142888	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 73.92499232292175
epoch: 34	train ppl: 38.267653644654246	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 74.02894306182861
epoch: 35	train ppl: 38.260908548763354	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 73.46991872787476
epoch: 36	train ppl: 38.26227340843889	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 75.33300137519836
epoch: 37	train ppl: 38.27505237412667	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 75.20768332481384
epoch: 38	train ppl: 38.25404567886479	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 75.15533113479614
epoch: 39	train ppl: 38.304789896606806	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 74.605144739151
