epoch: 0	train ppl: 1889.4717312328794	val ppl: 694.5060133473622	best val: 694.5060133473622	time (s) spent in epoch: 68.3006067276001
epoch: 1	train ppl: 554.7095782188989	val ppl: 413.44076765695627	best val: 413.44076765695627	time (s) spent in epoch: 68.14307188987732
epoch: 2	train ppl: 348.52540187670894	val ppl: 304.6334913148888	best val: 304.6334913148888	time (s) spent in epoch: 68.09192991256714
epoch: 3	train ppl: 261.612748721612	val ppl: 257.0127057463984	best val: 257.0127057463984	time (s) spent in epoch: 68.11220479011536
epoch: 4	train ppl: 213.32568502412627	val ppl: 220.4533723371535	best val: 220.4533723371535	time (s) spent in epoch: 68.18142223358154
epoch: 5	train ppl: 181.59749688995285	val ppl: 190.4144242842267	best val: 190.4144242842267	time (s) spent in epoch: 68.0752546787262
epoch: 6	train ppl: 159.09315955241428	val ppl: 173.20479416043136	best val: 173.20479416043136	time (s) spent in epoch: 68.11365389823914
epoch: 7	train ppl: 141.52949634455965	val ppl: 161.89379871428358	best val: 161.89379871428358	time (s) spent in epoch: 68.08122205734253
epoch: 8	train ppl: 127.49665224021264	val ppl: 156.36683574017812	best val: 156.36683574017812	time (s) spent in epoch: 68.06009769439697
epoch: 9	train ppl: 116.08889989690486	val ppl: 150.77134015087975	best val: 150.77134015087975	time (s) spent in epoch: 67.97832322120667
epoch: 10	train ppl: 106.56132849517094	val ppl: 147.32895615816966	best val: 147.32895615816966	time (s) spent in epoch: 67.95039391517639
epoch: 11	train ppl: 98.46941990415813	val ppl: 148.26589134794906	best val: 147.32895615816966	time (s) spent in epoch: 68.10498428344727
epoch: 12	train ppl: 91.35745619178574	val ppl: 142.37353077025043	best val: 142.37353077025043	time (s) spent in epoch: 67.97139143943787
epoch: 13	train ppl: 85.34804790851024	val ppl: 142.1007937376153	best val: 142.1007937376153	time (s) spent in epoch: 68.06294107437134
epoch: 14	train ppl: 79.9848755767947	val ppl: 141.49856579376674	best val: 141.49856579376674	time (s) spent in epoch: 67.9781584739685
epoch: 15	train ppl: 75.07607381974778	val ppl: 144.074947914636	best val: 141.49856579376674	time (s) spent in epoch: 67.96644926071167
epoch: 16	train ppl: 70.62561790927793	val ppl: 140.74287448469946	best val: 140.74287448469946	time (s) spent in epoch: 67.9808738231659
epoch: 17	train ppl: 66.9189017481963	val ppl: 141.87071838306065	best val: 140.74287448469946	time (s) spent in epoch: 67.98307275772095
epoch: 18	train ppl: 63.16510910091201	val ppl: 142.5603012174477	best val: 140.74287448469946	time (s) spent in epoch: 67.93104314804077
epoch: 19	train ppl: 59.869044802496525	val ppl: 146.18878515110248	best val: 140.74287448469946	time (s) spent in epoch: 67.9210410118103
epoch: 20	train ppl: 56.995983273927536	val ppl: 148.07562638950384	best val: 140.74287448469946	time (s) spent in epoch: 68.04241228103638
epoch: 21	train ppl: 54.14160335870874	val ppl: 151.20316485878112	best val: 140.74287448469946	time (s) spent in epoch: 67.94647812843323
epoch: 22	train ppl: 51.57295423009296	val ppl: 150.0968086688998	best val: 140.74287448469946	time (s) spent in epoch: 67.9456398487091
epoch: 23	train ppl: 49.16518870788077	val ppl: 156.2871917085994	best val: 140.74287448469946	time (s) spent in epoch: 67.9375069141388
epoch: 24	train ppl: 46.81193386330154	val ppl: 159.6722737000117	best val: 140.74287448469946	time (s) spent in epoch: 67.98528027534485
epoch: 25	train ppl: 44.93187631916625	val ppl: 158.06619662199898	best val: 140.74287448469946	time (s) spent in epoch: 68.0306646823883
epoch: 26	train ppl: 42.92248985541719	val ppl: 164.04586530546604	best val: 140.74287448469946	time (s) spent in epoch: 67.88810110092163
epoch: 27	train ppl: 41.06216081525416	val ppl: 163.82685477003426	best val: 140.74287448469946	time (s) spent in epoch: 68.0280065536499
epoch: 28	train ppl: 39.434634677211726	val ppl: 173.66281574935448	best val: 140.74287448469946	time (s) spent in epoch: 67.91252374649048
epoch: 29	train ppl: 37.78278544497156	val ppl: 170.515315307808	best val: 140.74287448469946	time (s) spent in epoch: 67.94241976737976
epoch: 30	train ppl: 36.23795275599954	val ppl: 180.27120091585994	best val: 140.74287448469946	time (s) spent in epoch: 68.00117540359497
epoch: 31	train ppl: 34.789367174397846	val ppl: 180.82637250955068	best val: 140.74287448469946	time (s) spent in epoch: 67.97440981864929
epoch: 32	train ppl: 33.44598223618509	val ppl: 189.29107774046952	best val: 140.74287448469946	time (s) spent in epoch: 68.00828289985657
epoch: 33	train ppl: 32.22385389487366	val ppl: 186.08399109336418	best val: 140.74287448469946	time (s) spent in epoch: 68.00151014328003
epoch: 34	train ppl: 31.03695323536437	val ppl: 192.3836399629583	best val: 140.74287448469946	time (s) spent in epoch: 68.0470724105835
epoch: 35	train ppl: 29.87755311174162	val ppl: 193.77023817516974	best val: 140.74287448469946	time (s) spent in epoch: 67.97750663757324
epoch: 36	train ppl: 28.79146297617434	val ppl: 200.1257052107113	best val: 140.74287448469946	time (s) spent in epoch: 67.97008919715881
epoch: 37	train ppl: 27.801950967836113	val ppl: 209.3963492013923	best val: 140.74287448469946	time (s) spent in epoch: 68.01232957839966
epoch: 38	train ppl: 26.79335576258982	val ppl: 211.99755550868622	best val: 140.74287448469946	time (s) spent in epoch: 68.08238935470581
epoch: 39	train ppl: 25.904720063941273	val ppl: 220.12419741270892	best val: 140.74287448469946	time (s) spent in epoch: 67.9400908946991
