epoch: 0	train ppl: 340.1043038869931	val ppl: 190.12506540196893	best val: 190.12506540196893	time (s) spent in epoch: 30.881792783737183
epoch: 1	train ppl: 139.25129571873526	val ppl: 147.74048161809364	best val: 147.74048161809364	time (s) spent in epoch: 30.761213541030884
epoch: 2	train ppl: 94.05940232911934	val ppl: 137.08406686728128	best val: 137.08406686728128	time (s) spent in epoch: 30.769094228744507
epoch: 3	train ppl: 70.45672397544682	val ppl: 137.6166409279826	best val: 137.08406686728128	time (s) spent in epoch: 30.76239800453186
epoch: 4	train ppl: 54.97206426811047	val ppl: 144.03891482611022	best val: 137.08406686728128	time (s) spent in epoch: 30.731132984161377
epoch: 5	train ppl: 44.28366310841605	val ppl: 154.5173548466887	best val: 137.08406686728128	time (s) spent in epoch: 30.77496361732483
epoch: 6	train ppl: 35.694948869215736	val ppl: 171.2912039695678	best val: 137.08406686728128	time (s) spent in epoch: 30.748141050338745
epoch: 7	train ppl: 29.2755225888838	val ppl: 191.85233103721185	best val: 137.08406686728128	time (s) spent in epoch: 30.75385355949402
epoch: 8	train ppl: 24.389274831328837	val ppl: 217.35072956831752	best val: 137.08406686728128	time (s) spent in epoch: 30.75059461593628
epoch: 9	train ppl: 20.549118360431763	val ppl: 247.69167068637591	best val: 137.08406686728128	time (s) spent in epoch: 30.742427587509155
epoch: 10	train ppl: 17.599790554883636	val ppl: 280.3820985391458	best val: 137.08406686728128	time (s) spent in epoch: 30.744598865509033
epoch: 11	train ppl: 15.274258240035334	val ppl: 314.9653195495872	best val: 137.08406686728128	time (s) spent in epoch: 30.747032642364502
epoch: 12	train ppl: 13.433792684377519	val ppl: 358.74335756555854	best val: 137.08406686728128	time (s) spent in epoch: 30.733368635177612
epoch: 13	train ppl: 11.959117263182018	val ppl: 411.7495500527075	best val: 137.08406686728128	time (s) spent in epoch: 30.746398210525513
epoch: 14	train ppl: 10.7604867757995	val ppl: 465.97945950208333	best val: 137.08406686728128	time (s) spent in epoch: 30.760087966918945
epoch: 15	train ppl: 9.767515098582566	val ppl: 522.7412547677884	best val: 137.08406686728128	time (s) spent in epoch: 30.762283325195312
epoch: 16	train ppl: 8.937062462394445	val ppl: 592.8437354886664	best val: 137.08406686728128	time (s) spent in epoch: 30.766918659210205
epoch: 17	train ppl: 8.2487010951245	val ppl: 663.8341811271947	best val: 137.08406686728128	time (s) spent in epoch: 30.757434606552124
epoch: 18	train ppl: 7.686168844103923	val ppl: 725.8924309493	best val: 137.08406686728128	time (s) spent in epoch: 30.74627709388733
epoch: 19	train ppl: 7.1688140208953115	val ppl: 806.9571220068094	best val: 137.08406686728128	time (s) spent in epoch: 30.758301258087158
epoch: 20	train ppl: 6.7358421837521165	val ppl: 906.1002226400187	best val: 137.08406686728128	time (s) spent in epoch: 30.76078486442566
epoch: 21	train ppl: 6.369315228669625	val ppl: 1002.2357092242587	best val: 137.08406686728128	time (s) spent in epoch: 30.757894039154053
epoch: 22	train ppl: 6.031931049944307	val ppl: 1103.2659579153976	best val: 137.08406686728128	time (s) spent in epoch: 30.753207683563232
epoch: 23	train ppl: 5.750785651496838	val ppl: 1205.183568893073	best val: 137.08406686728128	time (s) spent in epoch: 30.7210853099823
epoch: 24	train ppl: 5.482113313159996	val ppl: 1327.7712049599343	best val: 137.08406686728128	time (s) spent in epoch: 30.73376965522766
epoch: 25	train ppl: 5.25556611218966	val ppl: 1431.99594193712	best val: 137.08406686728128	time (s) spent in epoch: 30.736683130264282
epoch: 26	train ppl: 5.061784928491626	val ppl: 1557.593502179855	best val: 137.08406686728128	time (s) spent in epoch: 30.764484882354736
epoch: 27	train ppl: 4.853238494995238	val ppl: 1684.412870157834	best val: 137.08406686728128	time (s) spent in epoch: 30.735767126083374
epoch: 28	train ppl: 4.696093902889858	val ppl: 1821.5709627590513	best val: 137.08406686728128	time (s) spent in epoch: 30.74901294708252
epoch: 29	train ppl: 4.550228617864584	val ppl: 1934.8648793778198	best val: 137.08406686728128	time (s) spent in epoch: 30.727554082870483
epoch: 30	train ppl: 4.404223938007667	val ppl: 2118.5063713205677	best val: 137.08406686728128	time (s) spent in epoch: 30.738584280014038
epoch: 31	train ppl: 4.270559570798734	val ppl: 2278.780389243542	best val: 137.08406686728128	time (s) spent in epoch: 30.765763998031616
epoch: 32	train ppl: 4.147025577641076	val ppl: 2387.0893660783204	best val: 137.08406686728128	time (s) spent in epoch: 30.73399305343628
epoch: 33	train ppl: 4.043478119732149	val ppl: 2554.503862482203	best val: 137.08406686728128	time (s) spent in epoch: 30.768176078796387
epoch: 34	train ppl: 3.9434823658588467	val ppl: 2735.35396672073	best val: 137.08406686728128	time (s) spent in epoch: 30.745525598526
epoch: 35	train ppl: 3.847531741105257	val ppl: 2916.685412621594	best val: 137.08406686728128	time (s) spent in epoch: 30.769548416137695
epoch: 36	train ppl: 3.7675475594305925	val ppl: 3078.9812455930833	best val: 137.08406686728128	time (s) spent in epoch: 30.75240182876587
epoch: 37	train ppl: 3.6894120452328085	val ppl: 3383.2034340615614	best val: 137.08406686728128	time (s) spent in epoch: 30.793144464492798
epoch: 38	train ppl: 3.61671731466596	val ppl: 3523.7268584445546	best val: 137.08406686728128	time (s) spent in epoch: 30.787988901138306
epoch: 39	train ppl: 3.5264953059511277	val ppl: 3809.237104086261	best val: 137.08406686728128	time (s) spent in epoch: 30.76902985572815
