epoch: 0	train ppl: 495.79962200453195	val ppl: 314.47733961791266	best val: 314.47733961791266	time (s) spent in epoch: 385.87011790275574
epoch: 1	train ppl: 298.1298512733217	val ppl: 252.14025165861472	best val: 252.14025165861472	time (s) spent in epoch: 386.4028034210205
epoch: 2	train ppl: 242.47934670555253	val ppl: 219.3848507348238	best val: 219.3848507348238	time (s) spent in epoch: 386.7077405452728
epoch: 3	train ppl: 210.33562409576993	val ppl: 200.75745970036974	best val: 200.75745970036974	time (s) spent in epoch: 386.5127739906311
epoch: 4	train ppl: 187.91455044333304	val ppl: 192.5031237716642	best val: 192.5031237716642	time (s) spent in epoch: 386.21904134750366
epoch: 5	train ppl: 170.3034577561136	val ppl: 180.4796772220151	best val: 180.4796772220151	time (s) spent in epoch: 384.9662878513336
epoch: 6	train ppl: 156.4038250608579	val ppl: 174.1169849887417	best val: 174.1169849887417	time (s) spent in epoch: 385.8362843990326
epoch: 7	train ppl: 144.91919217466074	val ppl: 170.43676941510904	best val: 170.43676941510904	time (s) spent in epoch: 386.4628002643585
epoch: 8	train ppl: 135.07969102676446	val ppl: 165.95453998572563	best val: 165.95453998572563	time (s) spent in epoch: 386.1519019603729
epoch: 9	train ppl: 126.70771509127596	val ppl: 163.74794238229	best val: 163.74794238229	time (s) spent in epoch: 384.0160913467407
epoch: 10	train ppl: 119.44440702310959	val ppl: 162.8499578443825	best val: 162.8499578443825	time (s) spent in epoch: 385.6773192882538
epoch: 11	train ppl: 112.84773789079152	val ppl: 162.56963276943156	best val: 162.56963276943156	time (s) spent in epoch: 386.1998975276947
epoch: 12	train ppl: 106.91667471499274	val ppl: 160.8391276891278	best val: 160.8391276891278	time (s) spent in epoch: 386.14890909194946
epoch: 13	train ppl: 101.41766970222103	val ppl: 162.11881278539585	best val: 160.8391276891278	time (s) spent in epoch: 386.3988211154938
epoch: 14	train ppl: 96.65485541413818	val ppl: 159.99392110012988	best val: 159.99392110012988	time (s) spent in epoch: 386.33385372161865
epoch: 15	train ppl: 92.08999696036616	val ppl: 160.70859697411674	best val: 159.99392110012988	time (s) spent in epoch: 385.9569685459137
epoch: 16	train ppl: 87.6738328278485	val ppl: 162.4549986215453	best val: 159.99392110012988	time (s) spent in epoch: 385.096182346344
epoch: 17	train ppl: 83.91128125230303	val ppl: 162.79501547749155	best val: 159.99392110012988	time (s) spent in epoch: 386.1873507499695
epoch: 18	train ppl: 80.48516224611727	val ppl: 163.20020246322676	best val: 159.99392110012988	time (s) spent in epoch: 386.4899206161499
epoch: 19	train ppl: 76.99112644082746	val ppl: 166.54355975228881	best val: 159.99392110012988	time (s) spent in epoch: 386.2058894634247
epoch: 20	train ppl: 73.97250187329453	val ppl: 167.06937540112062	best val: 159.99392110012988	time (s) spent in epoch: 386.29285526275635
epoch: 21	train ppl: 71.0381538755419	val ppl: 168.73939296833242	best val: 159.99392110012988	time (s) spent in epoch: 386.7046480178833
epoch: 22	train ppl: 68.27715773415585	val ppl: 172.26123133974826	best val: 159.99392110012988	time (s) spent in epoch: 386.24987411499023
epoch: 23	train ppl: 65.49796548143762	val ppl: 174.9856679328394	best val: 159.99392110012988	time (s) spent in epoch: 386.41383147239685
epoch: 24	train ppl: 63.42932354194601	val ppl: 174.48976050960354	best val: 159.99392110012988	time (s) spent in epoch: 386.22586584091187
epoch: 25	train ppl: 60.928034609245486	val ppl: 180.7364955086277	best val: 159.99392110012988	time (s) spent in epoch: 385.5904748439789
epoch: 26	train ppl: 58.866997865872456	val ppl: 181.61738010329827	best val: 159.99392110012988	time (s) spent in epoch: 386.1193492412567
epoch: 27	train ppl: 56.92890478945476	val ppl: 184.51675415741417	best val: 159.99392110012988	time (s) spent in epoch: 385.7230589389801
epoch: 28	train ppl: 54.991872315447104	val ppl: 187.3822342196753	best val: 159.99392110012988	time (s) spent in epoch: 386.33734917640686
epoch: 29	train ppl: 53.36806544473009	val ppl: 192.5026307146733	best val: 159.99392110012988	time (s) spent in epoch: 385.2797017097473
epoch: 30	train ppl: 51.56242728928841	val ppl: 194.6695850039093	best val: 159.99392110012988	time (s) spent in epoch: 384.46877217292786
epoch: 31	train ppl: 50.02572670187636	val ppl: 197.51767653254387	best val: 159.99392110012988	time (s) spent in epoch: 385.3247630596161
epoch: 32	train ppl: 48.61313300731763	val ppl: 203.3380254948308	best val: 159.99392110012988	time (s) spent in epoch: 385.8460021018982
epoch: 33	train ppl: 47.08937593606072	val ppl: 205.65964472417124	best val: 159.99392110012988	time (s) spent in epoch: 386.1269097328186
epoch: 34	train ppl: 45.84309521869133	val ppl: 212.33583753659127	best val: 159.99392110012988	time (s) spent in epoch: 383.0949456691742
epoch: 35	train ppl: 44.599463000000505	val ppl: 213.02993444131184	best val: 159.99392110012988	time (s) spent in epoch: 384.69957876205444
epoch: 36	train ppl: 43.253177517636175	val ppl: 216.6207293819541	best val: 159.99392110012988	time (s) spent in epoch: 386.5038139820099
epoch: 37	train ppl: 42.267884556198624	val ppl: 221.91801456901143	best val: 159.99392110012988	time (s) spent in epoch: 386.36185908317566
epoch: 38	train ppl: 41.36182219076385	val ppl: 225.27542743660632	best val: 159.99392110012988	time (s) spent in epoch: 386.3698453903198
epoch: 39	train ppl: 40.35799920426081	val ppl: 229.42071401631438	best val: 159.99392110012988	time (s) spent in epoch: 385.9759624004364
