epoch: 0	train ppl: 9861.591135898203	val ppl: 1742.1444304493891	best val: 1742.1444304493891	time (s) spent in epoch: 254.8921353816986
epoch: 1	train ppl: 2616.144458657618	val ppl: 1627.9328924674464	best val: 1627.9328924674464	time (s) spent in epoch: 254.2152018547058
epoch: 2	train ppl: 2220.760203000186	val ppl: 1631.8670166640886	best val: 1627.9328924674464	time (s) spent in epoch: 255.2889633178711
epoch: 3	train ppl: 2043.3634497134171	val ppl: 1576.1629348674333	best val: 1576.1629348674333	time (s) spent in epoch: 252.44257354736328
epoch: 4	train ppl: 1945.8334173109065	val ppl: 1310.5247826812638	best val: 1310.5247826812638	time (s) spent in epoch: 251.70071458816528
epoch: 5	train ppl: 2033.8355294652451	val ppl: 1566.8709909041224	best val: 1310.5247826812638	time (s) spent in epoch: 253.3602650165558
epoch: 6	train ppl: 1923.9518456293526	val ppl: 1151.2966277135115	best val: 1151.2966277135115	time (s) spent in epoch: 252.5335350036621
epoch: 7	train ppl: 1887.2543168757004	val ppl: 1657.2564256195453	best val: 1151.2966277135115	time (s) spent in epoch: 252.55799889564514
epoch: 8	train ppl: 1947.95015173421	val ppl: 1091.0958109478456	best val: 1091.0958109478456	time (s) spent in epoch: 253.13381123542786
epoch: 9	train ppl: 1975.5534919242232	val ppl: 1555.5529623532118	best val: 1091.0958109478456	time (s) spent in epoch: 254.0684847831726
epoch: 10	train ppl: 2045.572926542042	val ppl: 1294.7608708537148	best val: 1091.0958109478456	time (s) spent in epoch: 254.9879994392395
epoch: 11	train ppl: 2151.789914556194	val ppl: 1090.9205319844887	best val: 1090.9205319844887	time (s) spent in epoch: 253.73074316978455
epoch: 12	train ppl: 2159.839730215148	val ppl: 1244.2154713770146	best val: 1090.9205319844887	time (s) spent in epoch: 252.38313841819763
epoch: 13	train ppl: 2296.5286820651568	val ppl: 3573.302404574108	best val: 1090.9205319844887	time (s) spent in epoch: 254.01987290382385
epoch: 14	train ppl: 2294.2260809574545	val ppl: 1653.280485524421	best val: 1090.9205319844887	time (s) spent in epoch: 254.37729144096375
epoch: 15	train ppl: 1875.8173139243618	val ppl: 2380.62005961051	best val: 1090.9205319844887	time (s) spent in epoch: 254.13545274734497
epoch: 16	train ppl: 1402.5820814107642	val ppl: 1000.6043221434961	best val: 1000.6043221434961	time (s) spent in epoch: 252.99938344955444
epoch: 17	train ppl: 1087.960522658755	val ppl: 1002.338638080939	best val: 1000.6043221434961	time (s) spent in epoch: 252.97485041618347
epoch: 18	train ppl: 931.0589978902403	val ppl: 822.9985019122695	best val: 822.9985019122695	time (s) spent in epoch: 252.8954246044159
epoch: 19	train ppl: 856.9796411095692	val ppl: 758.0428477332232	best val: 758.0428477332232	time (s) spent in epoch: 252.55052852630615
epoch: 20	train ppl: 819.0616944904672	val ppl: 742.1671119018195	best val: 742.1671119018195	time (s) spent in epoch: 254.04204177856445
epoch: 21	train ppl: 803.5834124269234	val ppl: 737.215848009498	best val: 737.215848009498	time (s) spent in epoch: 254.10577154159546
epoch: 22	train ppl: 796.2549097337854	val ppl: 735.4418290946264	best val: 735.4418290946264	time (s) spent in epoch: 254.29013442993164
epoch: 23	train ppl: 794.1194408727807	val ppl: 734.2912842804807	best val: 734.2912842804807	time (s) spent in epoch: 252.74106168746948
epoch: 24	train ppl: 792.6935362725239	val ppl: 733.9594823963846	best val: 733.9594823963846	time (s) spent in epoch: 253.41555857658386
epoch: 25	train ppl: 793.4504211651416	val ppl: 733.9130766276895	best val: 733.9130766276895	time (s) spent in epoch: 254.91636967658997
epoch: 26	train ppl: 793.2465914986884	val ppl: 733.9009282200541	best val: 733.9009282200541	time (s) spent in epoch: 253.06759428977966
epoch: 27	train ppl: 792.7093511596645	val ppl: 733.8990284872483	best val: 733.8990284872483	time (s) spent in epoch: 252.11916828155518
epoch: 28	train ppl: 791.975009307675	val ppl: 733.8991018101772	best val: 733.8990284872483	time (s) spent in epoch: 252.89341616630554
epoch: 29	train ppl: 792.0280162947231	val ppl: 733.899211794585	best val: 733.8990284872483	time (s) spent in epoch: 254.7178304195404
epoch: 30	train ppl: 792.6284991890803	val ppl: 733.8992151274465	best val: 733.8990284872483	time (s) spent in epoch: 252.68148708343506
epoch: 31	train ppl: 793.3080421694892	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 253.98206162452698
epoch: 32	train ppl: 792.3510688904662	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 253.20731472969055
epoch: 33	train ppl: 791.7859621606212	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 251.49288320541382
epoch: 34	train ppl: 791.7554429829233	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 252.23040199279785
epoch: 35	train ppl: 791.9877189359695	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 251.7897756099701
epoch: 36	train ppl: 792.3724829138974	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 253.473228931427
epoch: 37	train ppl: 793.2110884372967	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 253.0843563079834
epoch: 38	train ppl: 793.0285502587129	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 253.2632975578308
epoch: 39	train ppl: 792.2934358401965	val ppl: 733.8992184603075	best val: 733.8990284872483	time (s) spent in epoch: 252.50166821479797
