epoch: 0	train ppl: 1880.2767330982124	val ppl: 796.7307871869972	best val: 796.7307871869972	time (s) spent in epoch: 79.40659761428833
epoch: 1	train ppl: 564.566542320938	val ppl: 411.0614351390616	best val: 411.0614351390616	time (s) spent in epoch: 74.76671504974365
epoch: 2	train ppl: 331.35634998802925	val ppl: 293.7544297643073	best val: 293.7544297643073	time (s) spent in epoch: 74.77787327766418
epoch: 3	train ppl: 234.62445680869146	val ppl: 221.33360267844557	best val: 221.33360267844557	time (s) spent in epoch: 75.44300436973572
epoch: 4	train ppl: 182.14410414223318	val ppl: 190.05264290105822	best val: 190.05264290105822	time (s) spent in epoch: 75.65858149528503
epoch: 5	train ppl: 149.43130513693146	val ppl: 167.97148415749615	best val: 167.97148415749615	time (s) spent in epoch: 77.02131652832031
epoch: 6	train ppl: 126.1814687540407	val ppl: 156.22687654424564	best val: 156.22687654424564	time (s) spent in epoch: 77.72183561325073
epoch: 7	train ppl: 108.25129529110725	val ppl: 152.35898119278338	best val: 152.35898119278338	time (s) spent in epoch: 74.96934962272644
epoch: 8	train ppl: 93.81200740975622	val ppl: 144.62409128724306	best val: 144.62409128724306	time (s) spent in epoch: 74.64082551002502
epoch: 9	train ppl: 82.53131248974039	val ppl: 145.81878969392693	best val: 144.62409128724306	time (s) spent in epoch: 74.13583707809448
epoch: 10	train ppl: 73.01796408702275	val ppl: 145.18387293759992	best val: 144.62409128724306	time (s) spent in epoch: 74.0239725112915
epoch: 11	train ppl: 64.75595652088117	val ppl: 150.5850313362395	best val: 144.62409128724306	time (s) spent in epoch: 73.98965191841125
epoch: 12	train ppl: 57.80584355310111	val ppl: 147.47974559494546	best val: 144.62409128724306	time (s) spent in epoch: 74.85977506637573
epoch: 13	train ppl: 51.70057305717048	val ppl: 154.5340441810364	best val: 144.62409128724306	time (s) spent in epoch: 74.3009123802185
epoch: 14	train ppl: 46.47000398489008	val ppl: 160.46671296466616	best val: 144.62409128724306	time (s) spent in epoch: 74.17119884490967
epoch: 15	train ppl: 40.310907761952485	val ppl: 164.7625227823677	best val: 144.62409128724306	time (s) spent in epoch: 74.19865274429321
epoch: 16	train ppl: 34.62009149828259	val ppl: 171.6056155945625	best val: 144.62409128724306	time (s) spent in epoch: 74.26289105415344
epoch: 17	train ppl: 30.385427389158117	val ppl: 174.83211968258004	best val: 144.62409128724306	time (s) spent in epoch: 74.25402188301086
epoch: 18	train ppl: 27.578971640171673	val ppl: 177.33272653346418	best val: 144.62409128724306	time (s) spent in epoch: 74.19141221046448
epoch: 19	train ppl: 26.00960325134952	val ppl: 179.02983749929476	best val: 144.62409128724306	time (s) spent in epoch: 74.19220185279846
epoch: 20	train ppl: 25.17905282892015	val ppl: 179.04697062540475	best val: 144.62409128724306	time (s) spent in epoch: 74.15976452827454
epoch: 21	train ppl: 24.772926077442364	val ppl: 178.14549207008488	best val: 144.62409128724306	time (s) spent in epoch: 74.15616464614868
epoch: 22	train ppl: 24.617960810238742	val ppl: 177.52390605201225	best val: 144.62409128724306	time (s) spent in epoch: 74.16995549201965
epoch: 23	train ppl: 24.505909819854296	val ppl: 177.41028922603627	best val: 144.62409128724306	time (s) spent in epoch: 74.1301953792572
epoch: 24	train ppl: 24.48231177334638	val ppl: 177.3898763721119	best val: 144.62409128724306	time (s) spent in epoch: 74.1274745464325
epoch: 25	train ppl: 24.52326305689192	val ppl: 177.3842832054506	best val: 144.62409128724306	time (s) spent in epoch: 74.09962129592896
epoch: 26	train ppl: 24.506762101560934	val ppl: 177.38291401666385	best val: 144.62409128724306	time (s) spent in epoch: 74.26658535003662
epoch: 27	train ppl: 24.490185314105517	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.1144208908081
epoch: 28	train ppl: 24.51495932156706	val ppl: 177.38284000676023	best val: 144.62409128724306	time (s) spent in epoch: 74.19072532653809
epoch: 29	train ppl: 24.43571814901222	val ppl: 177.38284000676023	best val: 144.62409128724306	time (s) spent in epoch: 74.00929307937622
epoch: 30	train ppl: 24.496154710352247	val ppl: 177.38283472033973	best val: 144.62409128724306	time (s) spent in epoch: 74.13363003730774
epoch: 31	train ppl: 24.529804240396174	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.20235252380371
epoch: 32	train ppl: 24.496762762018793	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.17673182487488
epoch: 33	train ppl: 24.46149472564817	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.10137796401978
epoch: 34	train ppl: 24.505234902644432	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.19688010215759
epoch: 35	train ppl: 24.46550050568133	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.26664590835571
epoch: 36	train ppl: 24.4806135925701	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.18787479400635
epoch: 37	train ppl: 24.49277000257472	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.18435263633728
epoch: 38	train ppl: 24.462548776139315	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.23088550567627
epoch: 39	train ppl: 24.489742350362526	val ppl: 177.38285057960172	best val: 144.62409128724306	time (s) spent in epoch: 74.09200358390808
