epoch: 0	train ppl: 1107.5049976383832	val ppl: 722.5945314940141	best val: 722.5945314940141	time (s) spent in epoch: 68.29035568237305
epoch: 1	train ppl: 552.9602065607708	val ppl: 460.53770514194207	best val: 460.53770514194207	time (s) spent in epoch: 68.24954557418823
epoch: 2	train ppl: 384.11969302156365	val ppl: 327.18368496643456	best val: 327.18368496643456	time (s) spent in epoch: 68.19443559646606
epoch: 3	train ppl: 298.19567210830536	val ppl: 275.7222954175481	best val: 275.7222954175481	time (s) spent in epoch: 69.02101993560791
epoch: 4	train ppl: 245.01817495606076	val ppl: 230.12868612073564	best val: 230.12868612073564	time (s) spent in epoch: 68.76477336883545
epoch: 5	train ppl: 209.0383948736527	val ppl: 202.74069447811917	best val: 202.74069447811917	time (s) spent in epoch: 68.07209801673889
epoch: 6	train ppl: 183.34228158506997	val ppl: 188.94631856101105	best val: 188.94631856101105	time (s) spent in epoch: 68.17840003967285
epoch: 7	train ppl: 162.91456935958547	val ppl: 173.17641117001375	best val: 173.17641117001375	time (s) spent in epoch: 68.1827564239502
epoch: 8	train ppl: 146.85011542484096	val ppl: 165.06701196820003	best val: 165.06701196820003	time (s) spent in epoch: 68.06271982192993
epoch: 9	train ppl: 133.4639925827197	val ppl: 155.97175887220783	best val: 155.97175887220783	time (s) spent in epoch: 68.03614091873169
epoch: 10	train ppl: 122.37744375277728	val ppl: 149.18063956749955	best val: 149.18063956749955	time (s) spent in epoch: 68.09527826309204
epoch: 11	train ppl: 112.80487534960339	val ppl: 144.3869957402856	best val: 144.3869957402856	time (s) spent in epoch: 68.09284615516663
epoch: 12	train ppl: 104.3795668868578	val ppl: 141.22608648799098	best val: 141.22608648799098	time (s) spent in epoch: 68.07053780555725
epoch: 13	train ppl: 97.08994146870727	val ppl: 139.20185810593725	best val: 139.20185810593725	time (s) spent in epoch: 68.07169127464294
epoch: 14	train ppl: 90.67897295422229	val ppl: 140.44464150729345	best val: 139.20185810593725	time (s) spent in epoch: 68.02631330490112
epoch: 15	train ppl: 84.62477017442879	val ppl: 136.20377982994702	best val: 136.20377982994702	time (s) spent in epoch: 68.02003788948059
epoch: 16	train ppl: 79.48385460567425	val ppl: 135.91945074547604	best val: 135.91945074547604	time (s) spent in epoch: 68.05948424339294
epoch: 17	train ppl: 74.57297212812895	val ppl: 134.67526724472393	best val: 134.67526724472393	time (s) spent in epoch: 68.06067538261414
epoch: 18	train ppl: 70.18068608702396	val ppl: 136.807171333406	best val: 134.67526724472393	time (s) spent in epoch: 68.0338978767395
epoch: 19	train ppl: 66.09115200863423	val ppl: 135.2818815895665	best val: 134.67526724472393	time (s) spent in epoch: 68.04183316230774
epoch: 20	train ppl: 62.3845358049852	val ppl: 135.23430363471869	best val: 134.67526724472393	time (s) spent in epoch: 68.06882810592651
epoch: 21	train ppl: 58.835448369416255	val ppl: 136.23110497142832	best val: 134.67526724472393	time (s) spent in epoch: 68.07569360733032
epoch: 22	train ppl: 55.70902397037661	val ppl: 137.7098580198941	best val: 134.67526724472393	time (s) spent in epoch: 68.00403642654419
epoch: 23	train ppl: 52.61342996788554	val ppl: 138.41175050943036	best val: 134.67526724472393	time (s) spent in epoch: 68.06479549407959
epoch: 24	train ppl: 49.78661737744682	val ppl: 142.30865641008862	best val: 134.67526724472393	time (s) spent in epoch: 68.05262017250061
epoch: 25	train ppl: 47.19308244852344	val ppl: 143.91731552252514	best val: 134.67526724472393	time (s) spent in epoch: 68.04642343521118
epoch: 26	train ppl: 44.74439949114681	val ppl: 145.97754766095574	best val: 134.67526724472393	time (s) spent in epoch: 67.93932485580444
epoch: 27	train ppl: 42.42736483999726	val ppl: 149.0436345107158	best val: 134.67526724472393	time (s) spent in epoch: 68.04090666770935
epoch: 28	train ppl: 40.34846102741935	val ppl: 151.6418256400735	best val: 134.67526724472393	time (s) spent in epoch: 68.10580682754517
epoch: 29	train ppl: 38.30135007089958	val ppl: 154.66145182970794	best val: 134.67526724472393	time (s) spent in epoch: 68.08901643753052
epoch: 30	train ppl: 36.36126506408083	val ppl: 160.30145076800954	best val: 134.67526724472393	time (s) spent in epoch: 68.13417911529541
epoch: 31	train ppl: 34.57812258676185	val ppl: 165.98045665476232	best val: 134.67526724472393	time (s) spent in epoch: 68.05605411529541
epoch: 32	train ppl: 32.898465085341584	val ppl: 167.71296129285315	best val: 134.67526724472393	time (s) spent in epoch: 68.29536485671997
epoch: 33	train ppl: 31.254397160300712	val ppl: 172.78279166879136	best val: 134.67526724472393	time (s) spent in epoch: 67.98187184333801
epoch: 34	train ppl: 29.82318248409755	val ppl: 174.53973257322187	best val: 134.67526724472393	time (s) spent in epoch: 68.08399796485901
epoch: 35	train ppl: 28.394301930579143	val ppl: 180.26818696830452	best val: 134.67526724472393	time (s) spent in epoch: 68.05419826507568
epoch: 36	train ppl: 27.08039037387409	val ppl: 185.4626992825073	best val: 134.67526724472393	time (s) spent in epoch: 68.04812002182007
epoch: 37	train ppl: 25.803344426846607	val ppl: 188.96429932435697	best val: 134.67526724472393	time (s) spent in epoch: 68.11020421981812
epoch: 38	train ppl: 24.653776356323764	val ppl: 198.16041208173536	best val: 134.67526724472393	time (s) spent in epoch: 68.05963706970215
epoch: 39	train ppl: 23.475399235977896	val ppl: 198.9861773135552	best val: 134.67526724472393	time (s) spent in epoch: 68.16050839424133
