epoch: 0	train ppl: 565.9581592575918	val ppl: 255.87387531218434	best val: 255.87387531218434	time (s) spent in epoch: 14.682914733886719
epoch: 1	train ppl: 191.12283225761325	val ppl: 167.85692225089494	best val: 167.85692225089494	time (s) spent in epoch: 14.593422651290894
epoch: 2	train ppl: 127.85571775637818	val ppl: 141.9406384023714	best val: 141.9406384023714	time (s) spent in epoch: 14.393407583236694
epoch: 3	train ppl: 97.8330656845393	val ppl: 131.4367639118577	best val: 131.4367639118577	time (s) spent in epoch: 14.420588254928589
epoch: 4	train ppl: 79.61070126020674	val ppl: 127.80529520635382	best val: 127.80529520635382	time (s) spent in epoch: 14.318343162536621
epoch: 5	train ppl: 66.84268888092559	val ppl: 128.2664070998085	best val: 127.80529520635382	time (s) spent in epoch: 14.542426109313965
epoch: 6	train ppl: 57.239217423957754	val ppl: 130.7451187053702	best val: 127.80529520635382	time (s) spent in epoch: 14.387207508087158
epoch: 7	train ppl: 49.73035422581946	val ppl: 134.0700784246304	best val: 127.80529520635382	time (s) spent in epoch: 14.305928230285645
epoch: 8	train ppl: 43.785974958176624	val ppl: 139.24278945635345	best val: 127.80529520635382	time (s) spent in epoch: 14.494089841842651
epoch: 9	train ppl: 38.86524797961317	val ppl: 147.61707280366286	best val: 127.80529520635382	time (s) spent in epoch: 14.341370344161987
epoch: 10	train ppl: 34.81833825881167	val ppl: 155.7778910924633	best val: 127.80529520635382	time (s) spent in epoch: 14.353287696838379
epoch: 11	train ppl: 31.409902675823837	val ppl: 165.8161722841399	best val: 127.80529520635382	time (s) spent in epoch: 14.521687746047974
epoch: 12	train ppl: 28.536788208504408	val ppl: 175.69288006176083	best val: 127.80529520635382	time (s) spent in epoch: 14.442288875579834
