epoch: 0	train ppl: 655.6694260851771	val ppl: 459.39250962347603	best val: 459.39250962347603	time (s) spent in epoch: 21.549651622772217
epoch: 1	train ppl: 272.3147156330831	val ppl: 321.5048337276627	best val: 321.5048337276627	time (s) spent in epoch: 21.445740222930908
epoch: 2	train ppl: 197.64185695162072	val ppl: 266.3657748557581	best val: 266.3657748557581	time (s) spent in epoch: 21.469928741455078
epoch: 3	train ppl: 164.90296376540212	val ppl: 242.60476081526792	best val: 242.60476081526792	time (s) spent in epoch: 21.444753408432007
epoch: 4	train ppl: 144.96675653549818	val ppl: 233.79551182404217	best val: 233.79551182404217	time (s) spent in epoch: 21.442296028137207
epoch: 5	train ppl: 130.1530576375697	val ppl: 224.66364347830773	best val: 224.66364347830773	time (s) spent in epoch: 21.431132555007935
epoch: 6	train ppl: 119.15872106021047	val ppl: 222.9996576173396	best val: 222.9996576173396	time (s) spent in epoch: 21.419456720352173
epoch: 7	train ppl: 110.29346481494748	val ppl: 224.060159954317	best val: 222.9996576173396	time (s) spent in epoch: 21.432642221450806
epoch: 8	train ppl: 103.1262449770503	val ppl: 222.6626061925853	best val: 222.6626061925853	time (s) spent in epoch: 21.463947057724
epoch: 9	train ppl: 97.18358739344862	val ppl: 225.9841116799754	best val: 222.6626061925853	time (s) spent in epoch: 21.435700178146362
epoch: 10	train ppl: 92.44771264871433	val ppl: 222.0511165149421	best val: 222.0511165149421	time (s) spent in epoch: 21.440918445587158
epoch: 11	train ppl: 88.21461163112973	val ppl: 223.1317509102375	best val: 222.0511165149421	time (s) spent in epoch: 21.435457229614258
epoch: 12	train ppl: 84.59322093469683	val ppl: 226.62016896157434	best val: 222.0511165149421	time (s) spent in epoch: 21.44069790840149
epoch: 13	train ppl: 81.4461163672876	val ppl: 224.60165171806702	best val: 222.0511165149421	time (s) spent in epoch: 21.46095585823059
epoch: 14	train ppl: 78.6960683920346	val ppl: 225.4198575504346	best val: 222.0511165149421	time (s) spent in epoch: 21.435237407684326
epoch: 15	train ppl: 76.32304527985787	val ppl: 226.4306148787278	best val: 222.0511165149421	time (s) spent in epoch: 21.417022705078125
epoch: 16	train ppl: 74.27726034629194	val ppl: 225.04595997997632	best val: 222.0511165149421	time (s) spent in epoch: 21.42176628112793
epoch: 17	train ppl: 72.23463721089092	val ppl: 226.6276658117155	best val: 222.0511165149421	time (s) spent in epoch: 21.426934480667114
epoch: 18	train ppl: 70.59820631363529	val ppl: 223.86036440887224	best val: 222.0511165149421	time (s) spent in epoch: 21.431852102279663
epoch: 19	train ppl: 68.95840037271569	val ppl: 228.10107175449534	best val: 222.0511165149421	time (s) spent in epoch: 21.438817262649536
epoch: 20	train ppl: 67.60794256044379	val ppl: 230.42528895843384	best val: 222.0511165149421	time (s) spent in epoch: 21.45826506614685
epoch: 21	train ppl: 66.19328171477771	val ppl: 226.43321968276885	best val: 222.0511165149421	time (s) spent in epoch: 21.43315315246582
epoch: 22	train ppl: 64.96831066581005	val ppl: 224.7405477406356	best val: 222.0511165149421	time (s) spent in epoch: 21.42431402206421
epoch: 23	train ppl: 63.99280876447108	val ppl: 226.0150941198424	best val: 222.0511165149421	time (s) spent in epoch: 21.435148000717163
epoch: 24	train ppl: 62.68583078601563	val ppl: 225.10290869951805	best val: 222.0511165149421	time (s) spent in epoch: 21.411291122436523
epoch: 25	train ppl: 61.81803782676683	val ppl: 225.03992385790116	best val: 222.0511165149421	time (s) spent in epoch: 21.421963930130005
epoch: 26	train ppl: 60.86411767375794	val ppl: 226.1943637284945	best val: 222.0511165149421	time (s) spent in epoch: 21.42628812789917
epoch: 27	train ppl: 59.95946122922706	val ppl: 224.43777063904767	best val: 222.0511165149421	time (s) spent in epoch: 21.423551082611084
epoch: 28	train ppl: 59.24014636238654	val ppl: 223.04473471860786	best val: 222.0511165149421	time (s) spent in epoch: 21.435379028320312
epoch: 29	train ppl: 58.607845420229005	val ppl: 222.84377254947225	best val: 222.0511165149421	time (s) spent in epoch: 21.422598361968994
epoch: 30	train ppl: 57.77756289601284	val ppl: 222.73700664158457	best val: 222.0511165149421	time (s) spent in epoch: 21.418514251708984
epoch: 31	train ppl: 57.06505813577184	val ppl: 224.9792228856478	best val: 222.0511165149421	time (s) spent in epoch: 21.426138162612915
epoch: 32	train ppl: 56.325731476413665	val ppl: 224.10326076896393	best val: 222.0511165149421	time (s) spent in epoch: 21.42384362220764
epoch: 33	train ppl: 55.8180493445199	val ppl: 225.34695178785316	best val: 222.0511165149421	time (s) spent in epoch: 21.42616319656372
epoch: 34	train ppl: 55.25125064080627	val ppl: 222.31110357445684	best val: 222.0511165149421	time (s) spent in epoch: 21.4361732006073
epoch: 35	train ppl: 54.67889846287111	val ppl: 223.31864986931973	best val: 222.0511165149421	time (s) spent in epoch: 21.425642490386963
epoch: 36	train ppl: 54.033059163068096	val ppl: 222.09633282740157	best val: 222.0511165149421	time (s) spent in epoch: 21.428995609283447
epoch: 37	train ppl: 53.640501924865355	val ppl: 222.45152660851673	best val: 222.0511165149421	time (s) spent in epoch: 21.430811882019043
epoch: 38	train ppl: 53.08637198635148	val ppl: 222.80631897984682	best val: 222.0511165149421	time (s) spent in epoch: 21.414525508880615
epoch: 39	train ppl: 52.58522650775971	val ppl: 223.41068658921543	best val: 222.0511165149421	time (s) spent in epoch: 21.4388267993927
