epoch: 0	train ppl: 814.1179470857147	val ppl: 1365.4365314631116	best val: 1365.4365314631116	time (s) spent in epoch: 21.504087924957275
epoch: 1	train ppl: 446.43931579388186	val ppl: 542.5844835878339	best val: 542.5844835878339	time (s) spent in epoch: 21.409791469573975
epoch: 2	train ppl: 368.3383355761552	val ppl: 484.04890640109306	best val: 484.04890640109306	time (s) spent in epoch: 21.408601760864258
epoch: 3	train ppl: 340.07304441686813	val ppl: 454.23282875090206	best val: 454.23282875090206	time (s) spent in epoch: 21.454094648361206
epoch: 4	train ppl: 322.97477206826335	val ppl: 442.0254604023783	best val: 442.0254604023783	time (s) spent in epoch: 21.471019506454468
epoch: 5	train ppl: 312.1464416284252	val ppl: 433.3439061988254	best val: 433.3439061988254	time (s) spent in epoch: 21.469623565673828
epoch: 6	train ppl: 302.4204952478183	val ppl: 436.78410931636915	best val: 433.3439061988254	time (s) spent in epoch: 21.487382888793945
epoch: 7	train ppl: 295.96150427639105	val ppl: 431.1242346534891	best val: 431.1242346534891	time (s) spent in epoch: 21.474252939224243
epoch: 8	train ppl: 291.3378609686382	val ppl: 433.4483466811269	best val: 431.1242346534891	time (s) spent in epoch: 21.45339274406433
epoch: 9	train ppl: 288.22818682239694	val ppl: 420.386627290123	best val: 420.386627290123	time (s) spent in epoch: 21.475722312927246
epoch: 10	train ppl: 285.66637626887893	val ppl: 419.0141206420361	best val: 419.0141206420361	time (s) spent in epoch: 21.474778413772583
epoch: 11	train ppl: 285.28163794639846	val ppl: 404.46687999029086	best val: 404.46687999029086	time (s) spent in epoch: 21.462390661239624
epoch: 12	train ppl: 282.2189456447811	val ppl: 405.074667564647	best val: 404.46687999029086	time (s) spent in epoch: 21.477845907211304
epoch: 13	train ppl: 279.0910135463314	val ppl: 407.02487322168423	best val: 404.46687999029086	time (s) spent in epoch: 21.464542865753174
epoch: 14	train ppl: 277.8204870959011	val ppl: 411.1745481035339	best val: 404.46687999029086	time (s) spent in epoch: 21.46759057044983
epoch: 15	train ppl: 277.54343076841303	val ppl: 419.0009339503708	best val: 404.46687999029086	time (s) spent in epoch: 21.466189861297607
epoch: 16	train ppl: 275.8611123594865	val ppl: 413.2744116651325	best val: 404.46687999029086	time (s) spent in epoch: 21.441681623458862
epoch: 17	train ppl: 272.7223983255837	val ppl: 403.6805879719585	best val: 403.6805879719585	time (s) spent in epoch: 21.48538327217102
epoch: 18	train ppl: 272.3027974494882	val ppl: 412.4258616881098	best val: 403.6805879719585	time (s) spent in epoch: 21.463304042816162
epoch: 19	train ppl: 271.75251775522685	val ppl: 411.74943961288676	best val: 403.6805879719585	time (s) spent in epoch: 21.489206552505493
epoch: 20	train ppl: 269.4140869252428	val ppl: 407.13692396823495	best val: 403.6805879719585	time (s) spent in epoch: 21.949486255645752
epoch: 21	train ppl: 271.10726238706883	val ppl: 409.04229523584075	best val: 403.6805879719585	time (s) spent in epoch: 22.044434309005737
epoch: 22	train ppl: 272.61320707322665	val ppl: 412.6070744900983	best val: 403.6805879719585	time (s) spent in epoch: 21.7154324054718
epoch: 23	train ppl: 270.7426889331766	val ppl: 422.6600346389708	best val: 403.6805879719585	time (s) spent in epoch: 21.6763596534729
epoch: 24	train ppl: 269.40375117099717	val ppl: 420.1589709790198	best val: 403.6805879719585	time (s) spent in epoch: 21.68958592414856
epoch: 25	train ppl: 268.17550592852655	val ppl: 400.7672300150071	best val: 400.7672300150071	time (s) spent in epoch: 21.76454997062683
epoch: 26	train ppl: 265.5030349628727	val ppl: 421.8934426670358	best val: 400.7672300150071	time (s) spent in epoch: 21.707418203353882
epoch: 27	train ppl: 268.2221648796759	val ppl: 419.4448891795151	best val: 400.7672300150071	time (s) spent in epoch: 21.82344961166382
epoch: 28	train ppl: 267.6302301969318	val ppl: 412.8057377767589	best val: 400.7672300150071	time (s) spent in epoch: 21.810307025909424
epoch: 29	train ppl: 265.84083006034626	val ppl: 415.04297243743724	best val: 400.7672300150071	time (s) spent in epoch: 21.530189990997314
epoch: 30	train ppl: 268.4519151649411	val ppl: 438.5696448084807	best val: 400.7672300150071	time (s) spent in epoch: 21.54617166519165
epoch: 31	train ppl: 266.6170823900918	val ppl: 409.2036061639363	best val: 400.7672300150071	time (s) spent in epoch: 21.902960300445557
epoch: 32	train ppl: 262.04411331279414	val ppl: 402.34492549961874	best val: 400.7672300150071	time (s) spent in epoch: 21.709859609603882
epoch: 33	train ppl: 261.4921693734166	val ppl: 394.621457329175	best val: 394.621457329175	time (s) spent in epoch: 21.74091911315918
epoch: 34	train ppl: 260.4961364232575	val ppl: 427.6014361851682	best val: 394.621457329175	time (s) spent in epoch: 21.922341346740723
epoch: 35	train ppl: 262.10285236176554	val ppl: 410.5160581707366	best val: 394.621457329175	time (s) spent in epoch: 21.647091150283813
epoch: 36	train ppl: 260.4240466681448	val ppl: 420.74634899466025	best val: 394.621457329175	time (s) spent in epoch: 21.768300771713257
epoch: 37	train ppl: 261.92275322919005	val ppl: 417.11992613339385	best val: 394.621457329175	time (s) spent in epoch: 21.719621419906616
epoch: 38	train ppl: 259.5302868297723	val ppl: 406.3310306394377	best val: 394.621457329175	time (s) spent in epoch: 21.665221691131592
epoch: 39	train ppl: 258.0759458299398	val ppl: 401.33323964879526	best val: 394.621457329175	time (s) spent in epoch: 21.834825038909912
