epoch: 0	train ppl: 139215.9742200208	val ppl: 38902.21038509536	best val: 38902.21038509536	time (s) spent in epoch: 69.86871910095215
epoch: 1	train ppl: 9169.285923731806	val ppl: 1362.2270537958373	best val: 1362.2270537958373	time (s) spent in epoch: 68.47924447059631
epoch: 2	train ppl: 1073.2967001834938	val ppl: 861.4916666595776	best val: 861.4916666595776	time (s) spent in epoch: 69.09097576141357
epoch: 3	train ppl: 623.4174307963192	val ppl: 619.64795684442	best val: 619.64795684442	time (s) spent in epoch: 69.86879634857178
epoch: 4	train ppl: 564.192833440809	val ppl: 473.3145354654262	best val: 473.3145354654262	time (s) spent in epoch: 68.51120257377625
epoch: 5	train ppl: 534.3337376386252	val ppl: 438.55316335141174	best val: 438.55316335141174	time (s) spent in epoch: 69.7845389842987
epoch: 6	train ppl: 452.58636254904854	val ppl: 486.2022144041501	best val: 438.55316335141174	time (s) spent in epoch: 70.12943053245544
epoch: 7	train ppl: 380.9630987804343	val ppl: 424.9790829334423	best val: 424.9790829334423	time (s) spent in epoch: 68.577561378479
epoch: 8	train ppl: 310.21357431850424	val ppl: 289.0013867681411	best val: 289.0013867681411	time (s) spent in epoch: 68.13692450523376
epoch: 9	train ppl: 266.66304710992574	val ppl: 416.51237427613074	best val: 289.0013867681411	time (s) spent in epoch: 67.72025084495544
epoch: 10	train ppl: 231.3248237123396	val ppl: 240.71931364717557	best val: 240.71931364717557	time (s) spent in epoch: 68.88322281837463
epoch: 11	train ppl: 199.40287147382105	val ppl: 230.78482031287746	best val: 230.78482031287746	time (s) spent in epoch: 68.04305100440979
epoch: 12	train ppl: 172.77185894557388	val ppl: 243.31097560183264	best val: 230.78482031287746	time (s) spent in epoch: 67.6515543460846
epoch: 13	train ppl: 153.9103898904062	val ppl: 225.43454365390798	best val: 225.43454365390798	time (s) spent in epoch: 68.06101584434509
epoch: 14	train ppl: 138.57859402781096	val ppl: 195.71774123804826	best val: 195.71774123804826	time (s) spent in epoch: 68.04929780960083
epoch: 15	train ppl: 102.28168670981826	val ppl: 165.0387574661569	best val: 165.0387574661569	time (s) spent in epoch: 68.82217764854431
epoch: 16	train ppl: 77.02183658256587	val ppl: 161.04069255576232	best val: 161.04069255576232	time (s) spent in epoch: 68.91446924209595
epoch: 17	train ppl: 60.22570237737439	val ppl: 159.1262269569052	best val: 159.1262269569052	time (s) spent in epoch: 70.83082485198975
epoch: 18	train ppl: 49.598121966981765	val ppl: 166.78901774857428	best val: 159.1262269569052	time (s) spent in epoch: 69.66300582885742
epoch: 19	train ppl: 43.7048218178316	val ppl: 171.93569409643078	best val: 159.1262269569052	time (s) spent in epoch: 68.86450624465942
epoch: 20	train ppl: 40.56272181761075	val ppl: 173.80443524872553	best val: 159.1262269569052	time (s) spent in epoch: 70.34203624725342
epoch: 21	train ppl: 39.16779395107567	val ppl: 172.7162751518649	best val: 159.1262269569052	time (s) spent in epoch: 68.94142484664917
epoch: 22	train ppl: 38.56925064988975	val ppl: 171.61190111785777	best val: 159.1262269569052	time (s) spent in epoch: 68.9434826374054
epoch: 23	train ppl: 38.40548661365055	val ppl: 171.18736144832403	best val: 159.1262269569052	time (s) spent in epoch: 69.29635548591614
epoch: 24	train ppl: 38.2652383152861	val ppl: 171.0985930761014	best val: 159.1262269569052	time (s) spent in epoch: 69.30825090408325
epoch: 25	train ppl: 38.250911580183185	val ppl: 171.07933472549152	best val: 159.1262269569052	time (s) spent in epoch: 69.60985922813416
epoch: 26	train ppl: 38.28722232531878	val ppl: 171.0758116557799	best val: 159.1262269569052	time (s) spent in epoch: 69.61816453933716
epoch: 27	train ppl: 38.2720594206986	val ppl: 171.075352795311	best val: 159.1262269569052	time (s) spent in epoch: 68.91524410247803
epoch: 28	train ppl: 38.21966408154588	val ppl: 171.07529671244922	best val: 159.1262269569052	time (s) spent in epoch: 69.70725512504578
epoch: 29	train ppl: 38.25107119778435	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 69.72692656517029
epoch: 30	train ppl: 38.26030380602838	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 70.631352186203
epoch: 31	train ppl: 38.23858532451784	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 70.47263550758362
epoch: 32	train ppl: 38.242055323105944	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 69.89914560317993
epoch: 33	train ppl: 38.29313696142888	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 69.81297755241394
epoch: 34	train ppl: 38.267653644654246	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 68.8530535697937
epoch: 35	train ppl: 38.260908548763354	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 69.75153422355652
epoch: 36	train ppl: 38.26227340843889	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 71.29807162284851
epoch: 37	train ppl: 38.27505237412667	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 69.91856169700623
epoch: 38	train ppl: 38.25404567886479	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 69.5795726776123
epoch: 39	train ppl: 38.304789896606806	val ppl: 171.07529161400817	best val: 159.1262269569052	time (s) spent in epoch: 68.68353128433228
