epoch: 0	train ppl: 618.8079824369009	val ppl: 355.5336973163757	best val: 355.5336973163757	time (s) spent in epoch: 248.18944811820984
epoch: 1	train ppl: 323.9946921817263	val ppl: 258.68313356853224	best val: 258.68313356853224	time (s) spent in epoch: 248.14913415908813
epoch: 2	train ppl: 254.662152528964	val ppl: 213.08774067028043	best val: 213.08774067028043	time (s) spent in epoch: 248.1700246334076
epoch: 3	train ppl: 215.72794965137817	val ppl: 178.28724088400756	best val: 178.28724088400756	time (s) spent in epoch: 248.15152597427368
epoch: 4	train ppl: 190.6939348717542	val ppl: 169.4571533362233	best val: 169.4571533362233	time (s) spent in epoch: 248.13234043121338
epoch: 5	train ppl: 171.3518717629492	val ppl: 154.10528526519332	best val: 154.10528526519332	time (s) spent in epoch: 248.14989066123962
epoch: 6	train ppl: 156.41437878892066	val ppl: 145.80007057121037	best val: 145.80007057121037	time (s) spent in epoch: 248.15520763397217
epoch: 7	train ppl: 145.03212256790647	val ppl: 155.2053280712729	best val: 145.80007057121037	time (s) spent in epoch: 248.20953488349915
epoch: 8	train ppl: 134.87699515511713	val ppl: 137.84908940171496	best val: 137.84908940171496	time (s) spent in epoch: 249.1150848865509
epoch: 9	train ppl: 126.63504306799926	val ppl: 133.82809279677335	best val: 133.82809279677335	time (s) spent in epoch: 252.4255497455597
epoch: 10	train ppl: 119.14668771872823	val ppl: 132.3628044188314	best val: 132.3628044188314	time (s) spent in epoch: 254.0520896911621
epoch: 11	train ppl: 112.99179769599834	val ppl: 126.22393892055965	best val: 126.22393892055965	time (s) spent in epoch: 252.05283975601196
epoch: 12	train ppl: 107.18504091178923	val ppl: 126.36549332949366	best val: 126.22393892055965	time (s) spent in epoch: 249.01339650154114
epoch: 13	train ppl: 102.17910125380253	val ppl: 122.0827594812342	best val: 122.0827594812342	time (s) spent in epoch: 248.36660480499268
epoch: 14	train ppl: 97.84000571323868	val ppl: 124.00256098326454	best val: 122.0827594812342	time (s) spent in epoch: 252.306161403656
epoch: 15	train ppl: 93.68135263253208	val ppl: 121.11569103963146	best val: 121.11569103963146	time (s) spent in epoch: 253.18895363807678
epoch: 16	train ppl: 89.8602991374471	val ppl: 119.68087240176008	best val: 119.68087240176008	time (s) spent in epoch: 252.9380383491516
epoch: 17	train ppl: 86.47632140057284	val ppl: 118.86653654389126	best val: 118.86653654389126	time (s) spent in epoch: 253.84768843650818
epoch: 18	train ppl: 83.31844807447116	val ppl: 118.39273828582803	best val: 118.39273828582803	time (s) spent in epoch: 252.7263412475586
epoch: 19	train ppl: 80.41603848655272	val ppl: 116.82765369857762	best val: 116.82765369857762	time (s) spent in epoch: 252.92464637756348
epoch: 20	train ppl: 77.7338006719415	val ppl: 117.02264699679006	best val: 116.82765369857762	time (s) spent in epoch: 253.0524480342865
epoch: 21	train ppl: 75.41483368096235	val ppl: 115.78230641409412	best val: 115.78230641409412	time (s) spent in epoch: 255.16074109077454
epoch: 22	train ppl: 73.22828910618621	val ppl: 115.49210570753242	best val: 115.49210570753242	time (s) spent in epoch: 257.1511309146881
epoch: 23	train ppl: 70.91242823283157	val ppl: 115.89469819584411	best val: 115.49210570753242	time (s) spent in epoch: 251.17912077903748
epoch: 24	train ppl: 69.0002716797274	val ppl: 119.33552692873005	best val: 115.49210570753242	time (s) spent in epoch: 254.23930287361145
epoch: 25	train ppl: 67.10011414761493	val ppl: 118.36857949001417	best val: 115.49210570753242	time (s) spent in epoch: 252.560631275177
epoch: 26	train ppl: 65.44088195491717	val ppl: 118.57159550396284	best val: 115.49210570753242	time (s) spent in epoch: 247.80590438842773
epoch: 27	train ppl: 63.830184374449175	val ppl: 119.10969101399904	best val: 115.49210570753242	time (s) spent in epoch: 247.83149242401123
epoch: 28	train ppl: 62.32753767145016	val ppl: 116.71054361575919	best val: 115.49210570753242	time (s) spent in epoch: 247.83776569366455
epoch: 29	train ppl: 60.98483216672239	val ppl: 118.58888811121663	best val: 115.49210570753242	time (s) spent in epoch: 247.85559105873108
epoch: 30	train ppl: 59.61751311666211	val ppl: 120.26686529853194	best val: 115.49210570753242	time (s) spent in epoch: 247.81381797790527
epoch: 31	train ppl: 58.30919196515755	val ppl: 118.99476449374973	best val: 115.49210570753242	time (s) spent in epoch: 248.08694696426392
epoch: 32	train ppl: 57.23659950124142	val ppl: 120.70060109573443	best val: 115.49210570753242	time (s) spent in epoch: 247.24475574493408
epoch: 33	train ppl: 56.04620628212842	val ppl: 119.74624213258095	best val: 115.49210570753242	time (s) spent in epoch: 247.20185232162476
epoch: 34	train ppl: 55.13218442560291	val ppl: 121.69213936613289	best val: 115.49210570753242	time (s) spent in epoch: 247.21728467941284
epoch: 35	train ppl: 54.233688339154796	val ppl: 122.77175268331582	best val: 115.49210570753242	time (s) spent in epoch: 247.24734163284302
epoch: 36	train ppl: 53.18717133904463	val ppl: 124.57122196785527	best val: 115.49210570753242	time (s) spent in epoch: 247.3405590057373
epoch: 37	train ppl: 52.177555859997724	val ppl: 123.58112003439908	best val: 115.49210570753242	time (s) spent in epoch: 247.24949836730957
epoch: 38	train ppl: 51.60778107896197	val ppl: 124.30194011210214	best val: 115.49210570753242	time (s) spent in epoch: 247.21706199645996
epoch: 39	train ppl: 50.67727491597266	val ppl: 122.33474419283158	best val: 115.49210570753242	time (s) spent in epoch: 247.19856357574463
