epoch: 0	train ppl: 87106.83380925193	val ppl: 9157.772057627128	best val: 9157.772057627128	time (s) spent in epoch: 30.05187439918518
epoch: 1	train ppl: 5524.382079591778	val ppl: 1566.366924385391	best val: 1566.366924385391	time (s) spent in epoch: 29.980576276779175
epoch: 2	train ppl: 2535.118413550324	val ppl: 5230.698403101122	best val: 1566.366924385391	time (s) spent in epoch: 29.97539186477661
epoch: 3	train ppl: 2252.743852467359	val ppl: 1360.3037245587495	best val: 1360.3037245587495	time (s) spent in epoch: 29.980712175369263
epoch: 4	train ppl: 1363.8401087894686	val ppl: 1064.3672268652213	best val: 1064.3672268652213	time (s) spent in epoch: 29.9934241771698
epoch: 5	train ppl: 1145.7062362166007	val ppl: 788.0221663657233	best val: 788.0221663657233	time (s) spent in epoch: 29.99185824394226
epoch: 6	train ppl: 916.2869739563932	val ppl: 1242.337048010157	best val: 788.0221663657233	time (s) spent in epoch: 29.97783875465393
epoch: 7	train ppl: 727.4243857853439	val ppl: 689.494162208929	best val: 689.494162208929	time (s) spent in epoch: 29.981675386428833
epoch: 8	train ppl: 657.9431776361326	val ppl: 526.064252061928	best val: 526.064252061928	time (s) spent in epoch: 29.9817852973938
epoch: 9	train ppl: 616.3690681610578	val ppl: 526.9258323239695	best val: 526.064252061928	time (s) spent in epoch: 29.99166774749756
epoch: 10	train ppl: 615.8528287621207	val ppl: 489.6130167503823	best val: 489.6130167503823	time (s) spent in epoch: 29.98777437210083
epoch: 11	train ppl: 541.6786951599397	val ppl: 513.2885537867363	best val: 489.6130167503823	time (s) spent in epoch: 29.969526290893555
epoch: 12	train ppl: 505.97356442443436	val ppl: 501.2156989599321	best val: 489.6130167503823	time (s) spent in epoch: 29.983967781066895
epoch: 13	train ppl: 490.5425627282858	val ppl: 1147.3747884396473	best val: 489.6130167503823	time (s) spent in epoch: 29.971741437911987
epoch: 14	train ppl: 475.18520849380104	val ppl: 496.58574213123524	best val: 489.6130167503823	time (s) spent in epoch: 29.97061061859131
epoch: 15	train ppl: 447.97038679866364	val ppl: 470.87088690460706	best val: 470.87088690460706	time (s) spent in epoch: 29.999757051467896
epoch: 16	train ppl: 437.8471635211194	val ppl: 451.72623846603074	best val: 451.72623846603074	time (s) spent in epoch: 29.81424832344055
epoch: 17	train ppl: 403.5547369500777	val ppl: 389.305881785282	best val: 389.305881785282	time (s) spent in epoch: 29.34600019454956
epoch: 18	train ppl: 382.5046810265347	val ppl: 388.97969449001454	best val: 388.97969449001454	time (s) spent in epoch: 29.33504891395569
epoch: 19	train ppl: 358.39859402621556	val ppl: 367.9925949934984	best val: 367.9925949934984	time (s) spent in epoch: 29.330762147903442
epoch: 20	train ppl: 342.2493018569526	val ppl: 588.9016091250128	best val: 367.9925949934984	time (s) spent in epoch: 29.340353965759277
epoch: 21	train ppl: 325.0295370283709	val ppl: 528.7899372777473	best val: 367.9925949934984	time (s) spent in epoch: 29.330981254577637
epoch: 22	train ppl: 306.82815419388214	val ppl: 314.9605417565463	best val: 314.9605417565463	time (s) spent in epoch: 29.329591035842896
epoch: 23	train ppl: 301.7328252331619	val ppl: 280.7652253528892	best val: 280.7652253528892	time (s) spent in epoch: 29.342401027679443
epoch: 24	train ppl: 287.15502489382686	val ppl: 348.5517895304641	best val: 280.7652253528892	time (s) spent in epoch: 29.34356141090393
epoch: 25	train ppl: 278.8675063955554	val ppl: 284.6427443046277	best val: 280.7652253528892	time (s) spent in epoch: 29.317922353744507
epoch: 26	train ppl: 266.31175814806454	val ppl: 303.0290883657866	best val: 280.7652253528892	time (s) spent in epoch: 29.305795669555664
epoch: 27	train ppl: 252.04303976931936	val ppl: 266.0028442516726	best val: 266.0028442516726	time (s) spent in epoch: 29.314783096313477
epoch: 28	train ppl: 245.52581608344488	val ppl: 285.77996955433474	best val: 266.0028442516726	time (s) spent in epoch: 29.31941509246826
epoch: 29	train ppl: 238.310665175618	val ppl: 267.5773692351288	best val: 266.0028442516726	time (s) spent in epoch: 29.317179203033447
epoch: 30	train ppl: 223.26755208431422	val ppl: 295.8840963058675	best val: 266.0028442516726	time (s) spent in epoch: 29.309102058410645
epoch: 31	train ppl: 215.48452006248766	val ppl: 263.12545716197707	best val: 263.12545716197707	time (s) spent in epoch: 29.306875705718994
epoch: 32	train ppl: 212.06058012680413	val ppl: 243.9870463593774	best val: 243.9870463593774	time (s) spent in epoch: 29.291560888290405
epoch: 33	train ppl: 199.35874097689947	val ppl: 228.16258782436734	best val: 228.16258782436734	time (s) spent in epoch: 29.303388118743896
epoch: 34	train ppl: 197.89119986637002	val ppl: 230.4553143511274	best val: 228.16258782436734	time (s) spent in epoch: 29.309491872787476
epoch: 35	train ppl: 190.3062234753192	val ppl: 244.52015476035916	best val: 228.16258782436734	time (s) spent in epoch: 29.30016303062439
epoch: 36	train ppl: 184.2924874073205	val ppl: 236.88831428265112	best val: 228.16258782436734	time (s) spent in epoch: 29.291056156158447
epoch: 37	train ppl: 175.19643452243008	val ppl: 234.85838279084697	best val: 228.16258782436734	time (s) spent in epoch: 29.299249410629272
epoch: 38	train ppl: 174.31587534568374	val ppl: 222.17306013146083	best val: 222.17306013146083	time (s) spent in epoch: 29.287360906600952
epoch: 39	train ppl: 171.5862963025124	val ppl: 236.88036505655657	best val: 222.17306013146083	time (s) spent in epoch: 29.28575849533081
